"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverse_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"degarelix 120 MG","2000010084","mimiciv_drug_ndc","Drug","Prescription Drug",,"degarelix 120 mg Sub-Q Soln","1970-01-01","2099-12-31",,"1718073","Maps to","Mapped from","1970-01-01","2099-12-31",
"Epinephrine","2000010085","mimiciv_drug_ndc","Drug","Prescription Drug",,"EPINEPHrine ","1970-01-01","2099-12-31",,"1343916","Maps to","Mapped from","1970-01-01","2099-12-31",
"Dutasteride 0.5 MG","2000010086","mimiciv_drug_ndc","Drug","Prescription Drug",,"Dutasteride 0.5MG","1970-01-01","2099-12-31",,"19097771","Maps to","Mapped from","1970-01-01","2099-12-31",
"Phenylephrine","2000010087","mimiciv_drug_ndc","Drug","Prescription Drug",,"Phenylephrine 2.5% opth 2.5%","1970-01-01","2099-12-31",,"1135766","Maps to","Mapped from","1970-01-01","2099-12-31",
"erlotinib 150 MG [Tarceva]","2000010088","mimiciv_drug_ndc","Drug","Prescription Drug",,"Erlotinib (Tarceva) 150 mg","1970-01-01","2099-12-31",,"40236072","Maps to","Mapped from","1970-01-01","2099-12-31",
"varenicline 1 MG","2000010089","mimiciv_drug_ndc","Drug","Prescription Drug",,"Varenicline 1 mg","1970-01-01","2099-12-31",,"780445","Maps to","Mapped from","1970-01-01","2099-12-31",
"darifenacin 15 MG Extended Release Oral Tablet [Enablex]","2000010090","mimiciv_drug_ndc","Drug","Prescription Drug",,"Enablex 15 mg tablet,extended release","1970-01-01","2099-12-31",,"19134734","Maps to","Mapped from","1970-01-01","2099-12-31",
"Magnesium Chloride / Sodium Bicarbonate / Sodium Chloride Injectable Solution [Normocarb HF 25]","2000010091","mimiciv_drug_ndc","Drug","Prescription Drug",,"Normocarb Dialysate 3240 ml Bag","1970-01-01","2099-12-31",,"40161286","Maps to","Mapped from","1970-01-01","2099-12-31",
"Balsalazide disodium 750 MG","2000010092","mimiciv_drug_ndc","Drug","Prescription Drug",,"Balsalazide Disodium 750 mg","1970-01-01","2099-12-31",,"40168548","Maps to","Mapped from","1970-01-01","2099-12-31",
"ranolazine 500 MG","2000010093","mimiciv_drug_ndc","Drug","Prescription Drug",,"Ranolazine 500","1970-01-01","2099-12-31",,"19123444","Maps to","Mapped from","1970-01-01","2099-12-31",
"Magnesium Sulfate 1.2 MEQ/ML","2000010094","mimiciv_drug_ndc","Drug","Prescription Drug",,"Magnesium Sulfate 1gm/2ml vial","1970-01-01","2099-12-31",,"19110661","Maps to","Mapped from","1970-01-01","2099-12-31",
"coenzyme Q10 100 MG Oral Capsule","2000010095","mimiciv_drug_ndc","Drug","Prescription Drug",,"Coenzyme Q10 100mg Capsule","1970-01-01","2099-12-31",,"1351153","Maps to","Mapped from","1970-01-01","2099-12-31",
"Dutasteride 0.5 MG Oral Capsule [Avodart]","2000010096","mimiciv_drug_ndc","Drug","Prescription Drug",,"Avodart 0.5 mg Cap","1970-01-01","2099-12-31",,"989486","Maps to","Mapped from","1970-01-01","2099-12-31",
