gsn,drug_concept_id,drug_source_concept_id
013514,19028319,19028319
013720,40163744,40163744
013777,43014234,1201143
014189,42800549,42800549
014190,42799258,42799258
014212,43532376,43532376
014227,19029144,19029144
014235,962398,46274362
014427,42801287,42801287
014656,42903460,42903460
015023,43532539,46274762
015304,44507693,44507693
015346,42801045,42801045
015445,42898581,42898581
015507,44816332,44816332
015514,40175280,40175280
015601,19019416,19019416
015829,45892558,45892558
015960,1195496,1195496
016004,19059598,19059598
016142,919528,919528
016311,19078603,19078603
016347,19065536,19065536
016360,43014220,43014220
016396,43012324,43012324
016428,35604152,35604152
016454,35602757,35602757
016589,1361281,1361281
016767,1548416,1548416
016816,40173720,40173720
016955,40171093,40171093
017027,40174213,40174213
017057,1718850,1718849
017776,40242460,46274234
017876,19102298,19102298
018016,40161610,40161610
018332,1145571,1145571
018370,951537,951537
018738,19002796,19002796
018820,701470,701481
019195,19126665,19126665
019472,1201501,1201500
019569,42609137,42609137
019596,1517147,1517147
020277,42903689,42903689
021414,19077548,19077548
021742,42707466,42707466
021997,19058197,19058197
022001,19123853,19123853
022059,911130,911130
023187,19079158,19079158
024537,19133570,19133570
026237,901658,901658
027400,19106229,19106229
027611,734303,734303
027776,40164321,40164321
028053,900022,900022
028107,19079160,19079160
028218,35606284,35606284
028307,1396699,1396699
029258,19115201,19115201
030012,45776339,45776339
031533,40237993,40237993
037000,19077516,19077516
039787,19073712,19073712
040230,42904273,42904273
040842,19020430,19020430
041003,19084863,19084863
041698,19076600,19076600
043010,1341176,1341176
043706,1799141,1799141
043760,40231911,40231911
043908,1360340,1360340
044305,19077244,19077244
044795,19100009,19100009
045154,40221966,40221966
045252,19129100,19129100
045697,19067050,19067050
045796,19027665,19027665
046087,40224885,40224885
046566,19077828,19077828
047040,35604145,35604145
047077,19101553,19101553
047290,40227778,40227778
047326,974473,974473
048178,1308186,1308186
048262,19074847,19074847
048291,19096679,19096679
048475,1237118,1237118
048494,40242069,40242069
048506,40226162,40226162
048588,19076834,19076834
048793,1001358,1001358
048814,1797158,1797158
048818,907208,907208
048856,35603870,35603870
048928,40225856,40225856
049716,40226063,40226063
050038,19066084,19066084
050491,40222918,40222918
051512,1154201,1154201
051563,974643,974643
051756,46234422,46234422
051799,19102162,19102162
051820,702618,702618
052030,42799560,42799560
052162,929202,929202
052866,19122150,19122150
053035,19104064,19104064
053279,19127100,19127100
053400,19102552,19102552
053489,19103178,19103178
053690,19122209,19122209
058001,43560041,43560041
059296,1396687,1396687
059475,40173071,40173071
059509,781184,781184
059683,19121208,19121208
059797,42903251,42903251
059848,19074975,19074975
060240,46275901,46275901
060319,19124358,19124358
060498,19124146,19124146
061136,19123202,19123202
061195,37497247,37497247
061217,1304792,1304792
061353,19044609,19044609
061445,40221137,40221137
062053,1719012,1719012
062333,40223128,40223128
062456,45775467,45775467
062589,40234196,40234196
062760,529684,529684
063068,44818222,44818222
063134,19015859,19015859
063195,42800335,42800335
063496,19126023,19126023
063699,19095210,19095210
063797,19127665,19127665
064118,35603009,35603009
064176,19131640,19131640
064204,42901904,42901904
064512,19133033,19133033
064563,44785118,44785118
064583,1593980,1593980
064703,919097,919097
064846,19012929,19012929
064847,19132775,19132775
064887,1708903,1708903
065089,19080255,19080255
065167,19020051,19020051
065545,40166398,40166398
065593,19074694,19074694
065624,43526024,43526024
065758,19072176,19072176
065855,919097,919097
065994,40160959,40160959
066091,40173203,40173203
066519,19075984,19075984
066589,40224638,40224638
066879,40232037,40232037
066911,42902029,42902029
067085,19104281,19104281
067199,46275962,46275962
067277,40170172,40170172
067926,40240406,40240406
068334,42707688,42707688
068449,42708120,42708120
068497,42708082,42708082
069132,42707880,42707880
069185,1310360,1310360
069204,42800232,42800232
069246,40228133,40228133
069617,42873600,42873600
070024,35605848,35605848
070116,40167259,40167259
070188,43011952,43011952
070295,40184845,40184845
070810,43526514,43526514
071735,40221118,40221118
071925,46287612,46287612
072006,40234350,40234350
072164,44816158,44816158
072331,35605468,35605468
072716,45776540,45776540
073068,35604315,35604315
073176,45892337,45892337
073181,45892363,45892363
073234,45892582,45892582
073244,45777022,45777022
073580,46221511,46221511
073783,45892160,45892160
074032,35606001,35606001
074142,46233821,46233821
074462,35606414,35606414
074468,46287736,46287736
074780,19133040,19133040
074941,40172265,40172265
075137,1312033,1312033
075550,35604710,35604710
076431,44785407,44785407
076441,40171103,40171103
076809,46234290,46234290
076820,40174215,40174215
076918,43013475,43013475
077054,1592359,1592359
077087,1718481,1718481
077113,1592247,1592247
077127,1536770,1536770
077301,1593515,1593515
077431,793970,793970
077703,792406,792406
078800,19064031,19064031
079083,35202016,35202016
079356,40237725,40237725
079794,1361502,1361502
080047,37496767,37496767
080260,789792,789792
080836,790199,790199
080924,1396473,1396473
081185,1146384,1146384
081273,739698,739698
081409,37499763,37499763
081778,739460,739460
081982,740051,740051
082018,35606303,35606303
082224,1537544,1537544
082262,1537581,1537581
083006,1759250,1759250
083329,779824,779824
084862,43532811,43532811
084912,1201616,1201616
084918,746306,746306
084976,747602,747602
085070,747767,747767
085405,42609712,42609712
085478,1146386,1146386
085787,42709056,42709056
085999,1735731,1735731
086462,19003087,19003087
086834,19022453,19022453
087150,37353886,37353886
087578,1511429,1511429
087742,1146710,1146710
087771,1466234,1466234
088167,702392,702392
088421,37355226,37355226
000005,19124805,19124805
000167,19076773,19076773
000310,19078138,19078138
000327,1362228,1362228
000339,19062197,19062197
000368,1326443,1326443
000410,40163112,40163112
000462,19079055,19079055
000477,1362198,1362198
000543,745269,745269
000662,40043947,40043947
000676,19097468,19097468
000755,19136048,19136048
000844,19044522,19044522
000874,1586346,1586346
000884,46221581,1596914
001165,19136097,19136097
001241,987245,987245
001262,1593611,1593611
001297,19021481,19021481
001334,970277,970277
001385,938205,938205
001391,782043,782043
001403,785649,19026793
001769,1594976,1594976
001815,1154343,19011931
001823,19026274,19132958
001941,19010696,19010696
001956,19011035,904826
002034,19135617,19135617
002094,40012877,40012877
002119,19012106,19012106
002143,1552929,19136052
002376,1388799,1388799
002386,1236607,1236607
002399,706644,706644
002702,1740546,19116618
002704,1724666,19068958
002709,967621,967621
002799,915175,19011032
002812,1836241,19132971
002868,1594733,1594732
002874,980867,980867
002973,924421,924421
002977,19046291,19046291
003125,19137377,19137377
003133,919438,919438
003184,906874,906874
003260,19104181,19104181
003271,40224789,40224789
003337,19057165,19057165
003488,917084,917084
003591,911638,19122122
003631,586491,963762
003694,704601,704601
003737,19078808,19078808
003769,19007422,19055379
003771,19005626,19005626
003915,1703653,1703653
003927,713110,713110
003978,792294,792294
004102,40171396,40171396
004107,1343039,1343039
004294,19091101,19018549
004621,19080847,19080847
004629,40235220,40235220
004877,953423,953423
004888,963356,963356
004955,1181864,1181864
005021,40173713,40173713
005297,19040527,19055815
005376,43014216,46274487
005435,19055902,19055902
005463,19095729,19055903
005466,42900317,42900317
005507,19051234,19051234
005981,1378509,1378509
006002,19050907,19050907
006023,19042155,19042155
006159,19057395,19057395
006330,19052682,19056378
006337,19076179,19076179
006575,35605406,35605406
006610,1507837,1507837
006627,19019857,19019857
006687,19016889,19016889
006830,1786621,19049485
006987,43014003,46274538
006990,19011069,46287639
007010,19076997,19076997
007037,19069106,19071992
007042,19056642,19056642
007129,975534,975534
007185,19088079,19056709
007283,1513103,19018401
007323,19018154,19052382
007340,903222,903222
007440,19071097,19071097
007462,45776202,45776202
007521,19092139,19092139
007638,905236,905236
007651,916774,916774
007684,782211,782211
007844,19076776,19076776
007988,902741,902741
008121,19000811,19122437
008206,19019042,19019042
008211,19081321,19081321
008699,40167348,40167348
008886,1746121,1746121
008922,19079894,19079894
008930,35605342,35605342
008975,1395773,1395773
008978,19074699,19074699
008991,1713671,1713671
009019,19007702,19007702
009052,19135785,19135785
009129,1777288,1777288
009146,46287419,46287419
009150,19074878,19074878
009151,1304107,1304107
009178,1636780,19052560
009214,40173357,40173357
009243,1747426,1747426
009257,19076955,19076955
009273,1836193,1836193
009321,19011162,19011162
009372,43525779,43525779
009378,40236851,40236851
009398,1836448,1836448
009401,19003422,19003422
009439,40163186,40163186
009446,40224850,40224850
009559,19103304,19103304
009602,19001406,19001406
009663,40220511,40220511
009828,1319158,1319158
009849,40081717,40081717
009863,742185,19098679
009967,42900573,42900573
010069,19082735,19082735
010187,43012251,43012251
